,error_euler,error_cdc_ensemble,cum_error_euler,cum_error_cdc_ensemble,target_prediction_date,prediction_made_date
0,1279.5857770394532,1083.7258314889723,1279.5857770394532,1083.7258314889723,2020-06-13,2020-05-31
1,609.3550521755433,1064.467505419214,1888.9408292149965,2148.193336908186,2020-06-20,2020-06-07
2,890.1548197133188,351.8706610185732,2779.0956489283153,2500.0639979267594,2020-06-27,2020-06-14
3,126.16791775586762,1095.0850351718655,2905.263566684183,3595.149033098625,2020-07-04,2020-06-21
4,1550.5468737310757,1123.869784540802,4455.810440415258,4719.018817639427,2020-07-11,2020-06-28
5,1876.4488266765088,205.97944983617344,6332.2592670917675,4924.9982674756,2020-07-18,2020-07-05
6,644.7138947112635,472.0,6976.973161803031,5396.9982674756,2020-07-25,2020-07-12
7,2346.0213664227394,522.0,9322.99452822577,5918.9982674756,2020-08-01,2020-07-19
8,785.3381127451657,496.0,10108.332640970937,6414.9982674756,2020-08-08,2020-07-26
9,162.6628831045373,730.0,10270.995524075475,7144.9982674756,2020-08-15,2020-08-02
10,483.49317079787124,489.0,10754.488694873347,7633.9982674756,2020-08-22,2020-08-09
11,520.583147188956,491.0,11275.071842062303,8124.9982674756,2020-08-29,2020-08-16
12,479.5487708800374,588.0,11754.62061294234,8712.9982674756,2020-09-05,2020-08-23
13,903.2725426732386,908.0,12657.89315561558,9620.9982674756,2020-09-12,2020-08-30
14,6.63465745013491,106.0,12664.527813065715,9726.9982674756,2020-09-19,2020-09-06
15,197.79339243421146,163.0,12862.321205499928,9889.9982674756,2020-09-26,2020-09-13
16,123.1200901735956,561.0,12985.441295673523,10450.9982674756,2020-10-03,2020-09-20
17,210.6541881621606,109.0,13196.095483835685,10559.9982674756,2020-10-10,2020-09-27
18,321.2710854993438,361.0,13517.366569335029,10920.9982674756,2020-10-17,2020-10-04
19,655.2459055561358,345.0,14172.612474891164,11265.9982674756,2020-10-24,2020-10-11
20,729.2290390128619,211.0,14901.841513904026,11476.9982674756,2020-10-31,2020-10-18
21,1379.4508086559663,532.0,16281.292322559992,12008.9982674756,2020-11-07,2020-10-25
22,1970.851979337217,454.0,18252.14430189721,12462.9982674756,2020-11-14,2020-11-01
23,3347.4553716722075,1429.0,21599.599673569417,13891.9982674756,2020-11-21,2020-11-08
24,2348.3306274694714,1313.0,23947.93030103889,15204.9982674756,2020-11-28,2020-11-15
25,3848.216127795111,3218.0,27796.146428834,18422.9982674756,2020-12-05,2020-11-22
26,7526.853404135076,1202.0,35322.99983296907,19624.9982674756,2020-12-12,2020-11-29
27,1873.640011716583,221.0,37196.639844685655,19845.9982674756,2020-12-19,2020-12-06
28,1193.7619621319209,4546.0,38390.40180681758,24391.9982674756,2020-12-26,2020-12-13
29,201.71965694335813,25.0,38592.12146376094,24416.9982674756,2021-01-02,2020-12-20
30,8856.592952453599,3213.0,47448.714416214534,27629.9982674756,2021-01-09,2020-12-27
31,5377.529342500649,848.0,52826.24375871518,28477.9982674756,2021-01-16,2021-01-03
32,1405.6543274099495,2944.0,54231.89808612513,31421.9982674756,2021-01-23,2021-01-10
33,27.55022035030197,669.0,54259.44830647543,32090.9982674756,2021-01-30,2021-01-17
34,844.3983785722921,992.0,55103.84668504773,33082.9982674756,2021-02-06,2021-01-24
35,2676.891459442835,3349.0,57780.73814449056,36431.9982674756,2021-02-13,2021-01-31
36,5565.920317358286,5632.0,63346.65846184885,42063.9982674756,2021-02-20,2021-02-07
37,1513.8473224211011,484.0,64860.505784269946,42547.9982674756,2021-02-27,2021-02-14
38,690.1846905531875,357.0,65550.69047482313,42904.9982674756,2021-03-06,2021-02-21
39,3366.6524966017278,2109.0,68917.34297142486,45013.9982674756,2021-03-13,2021-02-28
40,2505.2657926686697,1719.0,71422.60876409353,46732.9982674756,2021-03-20,2021-03-07
41,729.4154722036437,506.0,72152.02423629718,47238.9982674756,2021-03-27,2021-03-14
42,252.79159154998706,998.0,72404.81582784717,48236.9982674756,2021-04-03,2021-03-21
43,623.9860005123555,809.0,73028.80182835952,49045.9982674756,2021-04-10,2021-03-28
44,433.65530064505674,1058.0,73462.45712900457,50103.9982674756,2021-04-17,2021-04-04
45,1322.8228770536934,555.0,74785.28000605827,50658.9982674756,2021-04-24,2021-04-11
46,321.38555381822243,269.0,75106.66555987649,50927.9982674756,2021-05-01,2021-04-18
47,156.96843011958572,99.0,75263.63398999607,51026.9982674756,2021-05-08,2021-04-25
48,292.2419931379145,486.0,75555.87598313398,51512.9982674756,2021-05-15,2021-05-02
49,66.42592624621284,186.0,75622.3019093802,51698.9982674756,2021-05-22,2021-05-09
50,981.1303137369005,1186.0,76603.4322231171,52884.9982674756,2021-05-29,2021-05-16
