,error_euler,error_cdc_ensemble,cum_error_euler,cum_error_cdc_ensemble,target_prediction_date,prediction_made_date,euler_prediction_value,cdc_prediction_value
0,339.6133838845735,1829.6536193598859,339.6133838845735,1829.6536193598859,2020-07-04,2020-06-07,3679.6133838845735,5169.653619359886
1,645.1955671343621,512.6686589209421,984.8089510189357,2342.322278280828,2020-07-11,2020-06-14,4282.804432865638,4415.331341079058
2,2005.0322357950886,1397.8468084649653,2989.8411868140242,3740.1690867457933,2020-07-18,2020-06-21,3079.9677642049114,3687.1531915350347
3,2777.790480196776,706.1906945114652,5767.631667010801,4446.359781257259,2020-07-25,2020-06-28,3207.209519803224,5278.809305488535
4,4373.932983404057,3110.1157984535703,10141.564650414857,7556.475579710829,2020-08-01,2020-07-05,3057.0670165959427,4320.88420154643
5,1232.590086732116,881.2129781280564,11374.154737146973,8437.688557838886,2020-08-08,2020-07-12,5627.409913267884,5978.787021871944
6,1572.160336828143,139.0,12946.315073975116,8576.688557838886,2020-08-15,2020-07-19,4985.839663171857,6419.0
7,46.31128259786419,1037.0,12992.62635657298,9613.688557838886,2020-08-22,2020-07-26,6114.688717402136,7198.0
8,43.942741145966465,718.0,13036.569097718948,10331.688557838886,2020-08-29,2020-08-02,5826.0572588540335,6588.0
9,953.3635459792113,1470.0,13989.93264369816,11801.688557838886,2020-09-05,2020-08-09,6359.363545979211,6876.0
10,1441.0941033484469,875.0,15431.026747046606,12676.688557838886,2020-09-12,2020-08-16,6141.094103348447,5575.0
11,337.0895537140959,869.0,15768.116300760703,13545.688557838886,2020-09-19,2020-08-23,5413.089553714096,5945.0
12,95.78187188224547,170.0,15863.898172642948,13715.688557838886,2020-09-26,2020-08-30,5219.7818718822455,5294.0
13,144.61206028294873,742.0,16008.510232925897,14457.688557838886,2020-10-03,2020-09-06,4711.612060282949,5309.0
14,266.62773110213493,158.0,16275.137964028032,14615.688557838886,2020-10-10,2020-09-13,4974.627731102135,4550.0
15,938.2817358083807,252.0,17213.419699836413,14867.688557838886,2020-10-17,2020-09-20,3789.7182641916193,4980.0
16,638.3928031812666,349.0,17851.81250301768,15216.688557838886,2020-10-24,2020-09-27,4717.607196818733,5007.0
17,1381.7757597437285,701.0,19233.588262761412,15917.688557838886,2020-10-31,2020-10-04,4134.2242402562715,4815.0
18,2097.1978940349236,1603.0,21330.786156796334,17520.688557838886,2020-11-07,2020-10-11,4644.802105965076,5139.0
19,2688.4286154220827,1969.0,24019.214772218416,19489.688557838886,2020-11-14,2020-10-18,4695.571384577917,5415.0
20,4776.060480504231,3572.0,28795.275252722648,23061.688557838886,2020-11-21,2020-10-25,5321.939519495769,6526.0
21,4513.448106723707,2753.0,33308.723359446354,25814.688557838886,2020-11-28,2020-11-01,5273.551893276293,7034.0
22,8052.891893953091,6110.0,41361.61525339945,31924.688557838886,2020-12-05,2020-11-08,6663.108106046909,8606.0
23,8842.333909282548,4890.0,50203.949162681994,36814.68855783889,2020-12-12,2020-11-15,7442.666090717452,11395.0
24,6166.587913255791,1680.0,56370.537075937784,38494.68855783889,2020-12-19,2020-11-22,11394.412086744209,15881.0
25,7477.988930661277,1751.0,63848.52600659906,40245.68855783889,2020-12-26,2020-11-29,7483.011069338723,13210.0
26,875.7672851467905,682.0,64724.29329174585,40927.68855783889,2021-01-02,2020-12-06,16632.23271485321,18190.0
27,5347.00450236934,454.0,70071.29779411519,41381.68855783889,2021-01-09,2020-12-13,15806.99549763066,21608.0
28,5196.943349901601,411.0,75268.24114401679,41792.68855783889,2021-01-16,2020-12-20,16698.0566500984,21484.0
29,10734.418108622682,2497.0,86002.65925263948,44289.68855783889,2021-01-23,2020-12-27,9338.581891377318,17576.0
30,4717.233676665988,2470.0,90719.89292930547,46759.68855783889,2021-01-30,2021-01-03,15688.766323334012,17936.0
31,2286.771868100808,2748.0,93006.66479740628,49507.68855783889,2021-02-06,2021-01-10,21756.77186810081,22218.0
32,2314.9729863577377,6173.0,95321.63778376402,55680.68855783889,2021-02-13,2021-01-17,18651.972986357738,22510.0
33,7885.258962220469,6707.0,103206.89674598449,62387.68855783889,2021-02-20,2021-01-24,19968.25896222047,18790.0
