,error_euler,error_cdc_ensemble,cum_error_euler,cum_error_cdc_ensemble,target_prediction_date,prediction_made_date,euler_prediction_value,cdc_prediction_value,ground_truth_incidence
0,817.0,3441.0,817.0,3441.0,2020-08-29,2020-08-02,6710,9334.0,5893
1,1357.0,3138.0,2174.0,6579.0,2020-09-05,2020-08-09,6794,8575.0,5437
2,1890.0,2985.0,4064.0,9564.0,2020-09-12,2020-08-16,6612,7707.0,4722
3,1075.0,868.0,5139.0,10432.0,2020-09-19,2020-08-23,6192,5985.0,5117
4,782.0,246.0,5921.0,10678.0,2020-09-26,2020-08-30,5900,4872.0,5118
5,765.0,14.0,6686.0,10692.0,2020-10-03,2020-09-06,5383,4604.0,4618
6,85.0,1444.0,6771.0,12136.0,2020-10-10,2020-09-13,4802,3273.0,4717
7,182.0,1397.0,6953.0,13533.0,2020-10-17,2020-09-20,4964,3385.0,4782
8,354.0,997.0,7307.0,14530.0,2020-10-24,2020-09-27,5017,4374.0,5371
9,919.0,1256.0,8226.0,15786.0,2020-10-31,2020-10-04,4646,4309.0,5565
10,2068.0,1794.0,10294.0,17580.0,2020-11-07,2020-10-11,4702,4976.0,6770
11,2548.0,2391.0,12842.0,19971.0,2020-11-14,2020-10-18,4847,5004.0,7395
12,4755.0,4637.0,17597.0,24608.0,2020-11-21,2020-10-25,5339,5457.0,10094
13,4229.0,2333.0,21826.0,26941.0,2020-11-28,2020-11-01,5546,7442.0,9775
14,7889.0,6131.0,29715.0,33072.0,2020-12-05,2020-11-08,6776,8534.0,14665
15,8799.0,5048.0,38514.0,38120.0,2020-12-12,2020-11-15,7424,11175.0,16223
16,7174.0,17150.0,45688.0,55270.0,2020-12-19,2020-11-22,10341,34665.0,17515
17,5061.0,4475.0,50749.0,59745.0,2020-12-26,2020-11-29,9753,10339.0,14814
18,2790.0,9016.0,53539.0,68761.0,2021-01-02,2020-12-06,14756,26562.0,17546
19,4658.0,496.862000000001,58197.0,69257.862,2021-01-09,2020-12-13,16323,20484.138,20981
20,3789.0,3180.8189999999995,61986.0,72438.681,2021-01-16,2020-12-20,17635,18243.181,21424
21,5423.0,6987.0285,67409.0,79425.7095,2021-01-23,2020-12-27,14455,12890.9715,19878
22,3123.0,651.3369999999995,70532.0,80077.0465,2021-01-30,2021-01-03,17106,19577.663,20229
23,1583.0,3807.0,72115.0,83884.0465,2021-02-06,2021-01-10,21105,23329.0,19522
24,5285.0,7173.0,77400.0,91057.0465,2021-02-13,2021-01-17,21579,23467.0,16294
25,8057.0,4490.0,85457.0,95547.0465,2021-02-20,2021-01-24,20171,16604.0,12114
26,7570.0,2657.0,93027.0,98204.0465,2021-02-27,2021-01-31,20417,15504.0,12847
27,8183.0,5725.0,101210.0,103929.0465,2021-03-06,2021-02-07,19222,16764.0,11039
28,7978.0,17139.0,109188.0,121068.0465,2021-03-13,2021-02-14,16041,25202.0,8063
29,5747.0,192.0,114935.0,121260.0465,2021-03-20,2021-02-21,12392,6453.0,6645
30,6400.0,1060.0,121335.0,122320.0465,2021-03-27,2021-02-28,12753,7413.0,6353
31,4956.0,2800.0,126291.0,125120.0465,2021-04-03,2021-03-07,10431,8275.0,5475
32,1298.0,686.0,127589.0,125806.0465,2021-04-10,2021-03-14,7890,5906.0,6592
33,1996.0,1961.0,129585.0,127767.0465,2021-04-17,2021-03-21,6735,6700.0,4739
34,1559.0,3629.0,131144.0,131396.0465,2021-04-24,2021-03-28,6270,8340.0,4711
35,535.0,642.0,131679.0,132038.0465,2021-05-01,2021-04-04,5124,3947.0,4589
36,1936.0,4147.0,133615.0,136185.0465,2021-05-08,2021-04-11,6420,8631.0,4484
37,768.0,1078.1666666666706,134383.0,137263.21316666665,2021-05-15,2021-04-18,4616,4926.166666666671,3848
38,840.0,264.0,135223.0,137527.21316666665,2021-05-22,2021-04-25,4501,3397.0,3661
39,130.0,169.0,135353.0,137696.21316666665,2021-05-29,2021-05-02,4437,4476.0,4307
40,1138.0,1877.0,136491.0,139573.21316666665,2021-06-05,2021-05-09,4250,4989.0,3112
41,1363.0,397.0,137854.0,139970.21316666665,2021-06-12,2021-05-16,3713,1953.0,2350
42,1450.0,552.0,139304.0,140522.21316666665,2021-06-19,2021-05-23,3457,1455.0,2007
43,1987.0,1533.0,141291.0,142055.21316666665,2021-06-26,2021-05-30,4018,3564.0,2031
44,1525.0,484.0,142816.0,142539.21316666665,2021-07-03,2021-06-06,3114,1105.0,1589
45,607.0,319.0,143423.0,142858.21316666665,2021-07-10,2021-06-13,2148,1860.0,1541
46,219.0,493.0,143642.0,143351.21316666665,2021-07-17,2021-06-20,1900,1188.0,1681
47,39.0,311.0,143681.0,143662.21316666665,2021-07-24,2021-06-27,1846,1496.0,1807
48,966.0,741.0,144647.0,144403.21316666665,2021-07-31,2021-07-04,1484,1709.0,2450
49,1848.0,148.0,146495.0,144551.21316666665,2021-08-07,2021-07-11,1531,3231.0,3379
50,2844.0,2502.0,149339.0,147053.21316666665,2021-08-14,2021-07-18,1628,1970.0,4472
51,5345.0,4527.0,154684.0,151580.21316666665,2021-08-21,2021-07-25,1707,2525.0,7052
52,6444.0,973.0,161128.0,152553.21316666665,2021-08-28,2021-08-01,2406,7877.0,8850
53,7621.0,4159.0,168749.0,156712.21316666665,2021-09-04,2021-08-08,3145,6607.0,10766
54,7303.0,3843.0,176052.0,160555.21316666665,2021-09-11,2021-08-15,4159,7619.0,11462
55,7525.0,116.0,183577.0,160671.21316666665,2021-09-18,2021-08-22,6194,13835.0,13719
56,6248.0,290.0,189825.0,160961.21316666665,2021-09-25,2021-08-29,7778,14316.0,14026
57,3773.0,702.0,193598.0,161663.21316666665,2021-10-02,2021-09-05,9429,13904.0,13202
58,31.0,2760.0,193629.0,164423.21316666665,2021-10-09,2021-09-12,11199,13990.0,11230
59,739.0,3457.0,194368.0,167880.21316666665,2021-10-16,2021-09-19,11911,14629.0,11172
60,785.0,2085.0,195153.0,169965.21316666665,2021-10-23,2021-09-26,12290,9420.0,11505
61,2354.0,487.0,197507.0,170452.21316666665,2021-10-30,2021-10-03,11397,9530.0,9043
62,1451.0,1189.0,198958.0,171641.21316666665,2021-11-06,2021-10-10,9739,7099.0,8288
63,2246.0,889.0,201204.0,172530.21316666665,2021-11-13,2021-10-17,10520,7385.0,8274
64,2163.0,963.0,203367.0,173493.21316666665,2021-11-20,2021-10-24,10003,6877.0,7840
65,4247.0,3622.0,207614.0,177115.21316666665,2021-12-04,2021-11-07,7223,7848.0,11470
