,error_euler,error_cdc_ensemble,cum_error_euler,cum_error_cdc_ensemble,target_prediction_date,prediction_made_date,euler_prediction_value,cdc_prediction_value,ground_truth_incidence
0,81.33420157030196,1807.0,81.33420157030196,1807.0,2020-08-15,2020-08-02,6602.334201570302,8328.0,6521
1,554.3456942840985,1682.0,635.6798958544005,3489.0,2020-08-22,2020-08-09,6720.3456942840985,7848.0,6166
2,661.5261989914616,1594.0,1297.206094845862,5083.0,2020-08-29,2020-08-16,6554.526198991462,7487.0,5893
3,624.8593146893827,731.0,1922.0654095352447,5814.0,2020-09-05,2020-08-23,6061.859314689383,6168.0,5437
4,1068.9015111255094,854.0,2990.966920660754,6668.0,2020-09-12,2020-08-30,5790.901511125509,5576.0,4722
5,147.15983571974994,5.0,3138.126756380504,6673.0,2020-09-19,2020-09-06,5264.15983571975,5122.0,5117
6,332.4281244298036,1078.0,3470.5548808103076,7751.0,2020-09-26,2020-09-13,4785.571875570196,4040.0,5118
7,202.80415593790713,513.0,3673.3590367482147,8264.0,2020-10-03,2020-09-20,4820.804155937907,4105.0,4618
8,220.04211101043347,271.0,3893.401147758648,8535.0,2020-10-10,2020-09-27,4937.0421110104335,4446.0,4717
9,233.30620516980707,249.0,4126.707352928455,8784.0,2020-10-17,2020-10-04,4548.693794830193,4533.0,4782
10,673.1031906249391,370.0,4799.810543553394,9154.0,2020-10-24,2020-10-11,4697.896809375061,5001.0,5371
11,730.2754767701008,539.0,5530.086020323495,9693.0,2020-10-31,2020-10-18,4834.724523229899,5026.0,5565
12,1441.0484928141577,1365.0,6971.134513137653,11058.0,2020-11-07,2020-10-25,5328.951507185842,5405.0,6770
13,1879.701050141408,769.0,8850.83556327906,11827.0,2020-11-14,2020-11-01,5515.298949858592,6626.0,7395
14,3315.0759181731155,2660.0,12165.911481452176,14487.0,2020-11-21,2020-11-08,6778.9240818268845,7434.0,10094
15,2326.251525294172,676.0,14492.163006746348,15163.0,2020-11-28,2020-11-15,7448.748474705828,9099.0,9775
16,4069.274728093822,4110.0,18561.43773484017,19273.0,2020-12-05,2020-11-22,10595.725271906178,18775.0,14665
17,6782.667862178594,5739.0,25344.105597018763,25012.0,2020-12-12,2020-11-29,9440.332137821406,10484.0,16223
18,2363.4155554029494,654.0,27707.521152421712,25666.0,2020-12-19,2020-12-06,15151.58444459705,16861.0,17515
19,1504.6380649798357,2310.4350000000013,29212.159217401546,27976.435,2020-12-26,2020-12-13,16318.638064979836,17124.435,14814
20,9.279942615365144,544.0499999999993,29221.43916001691,28520.485,2021-01-02,2020-12-20,17555.279942615365,17001.95,17546
21,7222.561073817238,6574.692499999999,36444.00023383415,35095.1775,2021-01-09,2020-12-27,13758.438926182762,14406.3075,20981
22,4417.984710141867,5169.754999999999,40861.984943976015,40264.932499999995,2021-01-16,2021-01-03,17006.015289858133,16254.245,21424
23,1479.0210523972855,1882.0,42341.0059963733,42146.932499999995,2021-01-23,2021-01-10,21357.021052397286,17996.0,19878
24,1063.1001779195758,1974.0,43404.10617429287,44120.932499999995,2021-01-30,2021-01-17,21292.100177919576,22203.0,20229
25,599.798634007966,1649.0,44003.90480830084,45769.932499999995,2021-02-06,2021-01-24,20121.798634007966,21171.0,19522
26,3784.556481751617,2455.0,47788.46129005245,48224.932499999995,2021-02-13,2021-01-31,20078.556481751617,18749.0,16294
27,6657.186443212344,7109.0,54445.64773326479,55333.932499999995,2021-02-20,2021-02-07,18771.186443212344,19223.0,12114
28,2535.971364647132,10823.0,56981.61909791193,66156.9325,2021-02-27,2021-02-14,15382.971364647132,23670.0,12847
29,1101.7685079445873,2170.0,58083.387605856515,68326.9325,2021-03-06,2021-02-21,12140.768507944587,8869.0,11039
30,4409.850398481107,474.0,62493.23800433762,68800.9325,2021-03-13,2021-02-28,12472.850398481107,8537.0,8063
31,3282.120021093273,3582.0,65775.35802543089,72382.9325,2021-03-20,2021-03-07,9927.120021093273,10227.0,6645
32,1093.9494593571926,1347.0,66869.30748478808,73729.9325,2021-03-27,2021-03-14,7446.949459357193,7700.0,6353
33,1121.1563288619445,1594.0,67990.46381365003,75323.9325,2021-04-03,2021-03-21,6596.1563288619445,7069.0,5475
34,482.4754235437067,90.0,68472.93923719373,75413.9325,2021-04-10,2021-03-28,6109.524576456293,6502.0,6592
35,131.28224098208284,414.0,68604.22147817581,75827.9325,2021-04-17,2021-04-04,4870.282240982083,4325.0,4739
36,1571.9290929805602,3060.0,70176.15057115637,78887.9325,2021-04-24,2021-04-11,6282.92909298056,7771.0,4711
37,205.45546969003135,872.6666666666706,70381.6060408464,79760.59916666667,2021-05-01,2021-04-18,4383.544530309969,5461.666666666671,4589
38,55.55218710271947,456.0,70437.15822794911,80216.59916666667,2021-05-08,2021-04-25,4428.4478128972805,4028.0,4484
39,527.9895724107964,1150.0,70965.1478003599,81366.59916666667,2021-05-15,2021-05-02,4375.989572410796,4998.0,3848
40,436.95166539032107,1288.0,71402.09946575023,82654.59916666667,2021-05-22,2021-05-09,4097.951665390321,4949.0,3661
41,723.0039030663006,1440.0,72125.10336881653,84094.59916666667,2021-05-29,2021-05-16,3583.9960969336994,2867.0,4307
42,215.6731177942488,680.0,72340.77648661078,84774.59916666667,2021-06-05,2021-05-23,3327.673117794249,2432.0,3112
43,1546.3486486531428,1504.0,73887.12513526392,86278.59916666667,2021-06-12,2021-05-30,3896.348648653143,3854.0,2350
44,988.9549342308837,107.0,74876.08006949481,86385.59916666667,2021-06-19,2021-06-06,2995.9549342308837,1900.0,2007
45,14.788071797338944,93.0,74890.86814129216,86478.59916666667,2021-06-26,2021-06-13,2016.211928202661,2124.0,2031
46,254.22886048380155,75.0,75145.09700177595,86553.59916666667,2021-07-03,2021-06-20,1843.2288604838016,1514.0,1589
47,226.2276947631574,97.0,75371.32469653912,86650.59916666667,2021-07-10,2021-06-27,1767.2276947631574,1638.0,1541
48,292.76604350253933,67.0,75664.09074004166,86717.59916666667,2021-07-17,2021-07-04,1388.2339564974607,1614.0,1681
49,295.1647141376227,228.0,75959.25545417928,86945.59916666667,2021-07-24,2021-07-11,1511.8352858623773,2035.0,1807
50,869.6769903343729,468.0,76828.93244451364,87413.59916666667,2021-07-31,2021-07-18,1580.323009665627,1982.0,2450
51,1703.5852483049598,1203.0,78532.5176928186,88616.59916666667,2021-08-07,2021-07-25,1675.4147516950402,2176.0,3379
