,error_euler,error_eu_ensemble,cum_error_euler,cum_error_eu_ensemble,target_prediction_date,prediction_made_date,euler_prediction_value,eu_prediction_value,ground_truth_incidence
0,5148.0,3724.0,5148.0,3724.0,2021-05-15,2021-04-26,13767,12343,8619
1,5032.0,2523.0,10180.0,6247.0,2021-05-22,2021-05-03,11742,9233,6710
2,4708.0,2296.0,14888.0,8543.0,2021-05-29,2021-05-10,9861,7449,5153
3,3833.0,1499.0,18721.0,10042.0,2021-06-05,2021-05-17,7811,5477,3978
4,2387.0,81.0,21108.0,10123.0,2021-06-12,2021-05-24,6187,3719,3800
5,2308.0,5.0,23416.0,10128.0,2021-06-19,2021-05-31,4925,2622,2617
6,1276.0,71.0,24692.0,10199.0,2021-06-26,2021-06-07,3662,2315,2386
7,1528.0,203.0,26220.0,10402.0,2021-07-03,2021-06-14,3466,2141,1938
8,1014.0,50.0,27234.0,10452.0,2021-07-10,2021-06-21,2388,1424,1374
9,1199.0,508.0,28433.0,10960.0,2021-07-17,2021-06-28,2223,1532,1024
10,512.0,304.0,28945.0,11264.0,2021-07-24,2021-07-05,1732,1524,1220
11,428.0,750.0,29373.0,12014.0,2021-07-31,2021-07-12,1181,2359,1609
12,1132.0,354.0,30505.0,12368.0,2021-08-07,2021-07-19,958,2444,2090
13,1152.0,139.0,31657.0,12507.0,2021-08-14,2021-07-26,1151,2442,2303
14,1560.0,637.0,33217.0,13144.0,2021-08-21,2021-08-02,1527,2450,3087
15,1923.0,1181.0,35140.0,14325.0,2021-08-28,2021-08-09,1910,2652,3833
16,1862.0,1080.0,37002.0,15405.0,2021-09-04,2021-08-16,2118,2900,3980
17,1243.0,277.0,38245.0,15682.0,2021-09-11,2021-08-23,2934,3900,4177
18,1124.0,217.0,39369.0,15899.0,2021-09-18,2021-08-30,3451,4358,4575
19,1071.0,207.0,40440.0,16106.0,2021-09-25,2021-09-06,3638,4916,4709
20,887.0,51.0,41327.0,16157.0,2021-10-02,2021-09-13,3833,4771,4720
21,1296.0,291.0,42623.0,16448.0,2021-10-09,2021-09-20,4170,5175,5466
22,1572.0,459.0,44195.0,16907.0,2021-10-16,2021-09-27,4353,6384,5925
23,2556.0,534.0,46751.0,17441.0,2021-10-23,2021-10-04,4363,7453,6919
24,3101.0,149.0,49852.0,17590.0,2021-10-30,2021-10-11,5113,8363,8214
25,3676.0,672.0,53528.0,18262.0,2021-11-06,2021-10-18,5734,8738,9410
26,3570.0,706.0,57098.0,18968.0,2021-11-13,2021-10-25,6646,10922,10216
27,3344.0,1804.0,60442.0,20772.0,2021-11-20,2021-11-01,7970,13118,11314
28,3009.0,3360.0,63451.0,24132.0,2021-11-27,2021-11-08,8953,15322,11962
29,3250.0,5313.0,66701.0,29445.0,2021-12-04,2021-11-15,9532,18095,12782
30,3111.0,6512.0,69812.0,35957.0,2021-12-11,2021-11-22,10322,19945,13433
31,2630.0,5722.0,72442.0,41679.0,2021-12-18,2021-11-29,10860,19212,13490
32,413.0,5646.0,72855.0,47325.0,2021-12-25,2021-12-06,11442,17501,11855
33,309.0,3159.0,73164.0,50484.0,2022-01-01,2021-12-13,12469,15319,12160
34,679.0,1751.0,73843.0,52235.0,2022-01-08,2021-12-20,12312,13384,11633
