,error_euler,error_eu_ensemble,cum_error_euler,cum_error_eu_ensemble,target_prediction_date,prediction_made_date,euler_prediction_value,eu_prediction_value,ground_truth_incidence
0,683.2548472861981,2104.0,683.2548472861981,2104.0,2021-05-01,2021-04-26,13487.254847286198,14908,12804
1,767.6437141190418,1728.0,1450.89856140524,3832.0,2021-05-08,2021-05-03,11339.643714119042,12300,10572
2,1007.1639248363954,1587.0,2458.0624862416353,5419.0,2021-05-15,2021-05-10,9626.163924836395,10206,8619
3,749.1021129013616,1213.0,3207.164599142997,6632.0,2021-05-22,2021-05-17,7459.102112901362,7923,6710
4,797.862061318594,675.0,4005.026660461591,7307.0,2021-05-29,2021-05-24,5950.862061318594,5828,5153
5,740.5140968049473,355.0,4745.540757266538,7662.0,2021-06-05,2021-05-31,4718.514096804947,4333,3978
6,251.74610287538235,406.0,4997.28686014192,8068.0,2021-06-12,2021-06-07,3548.2538971246177,3394,3800
7,712.0350683241559,396.0,5709.321928466076,8464.0,2021-06-19,2021-06-14,3329.035068324156,3013,2617
8,122.84086363611414,178.0,5832.16279210219,8642.0,2021-06-26,2021-06-21,2263.159136363886,2208,2386
9,263.5718899644603,29.0,6095.73468206665,8671.0,2021-07-03,2021-06-28,2201.5718899644603,1967,1938
10,223.86188159801736,255.0,6319.596563664667,8926.0,2021-07-10,2021-07-05,1597.8618815980174,1629,1374
11,100.80250080493352,432.0,6420.3990644696005,9358.0,2021-07-17,2021-07-12,1124.8025008049335,1456,1024
12,295.7131547594912,150.0,6716.112219229091,9508.0,2021-07-24,2021-07-19,924.2868452405088,1370,1220
13,465.543318111997,20.0,7181.655537341088,9528.0,2021-07-31,2021-07-26,1143.456681888003,1589,1609
14,578.9402859139534,152.0,7760.595823255042,9680.0,2021-08-07,2021-08-02,1511.0597140860466,1938,2090
15,425.64247146507023,13.0,8186.238294720112,9693.0,2021-08-14,2021-08-09,1877.3575285349298,2316,2303
16,1006.0605924355441,558.0,9192.298887155655,10251.0,2021-08-21,2021-08-16,2080.939407564456,2529,3087
17,909.5162305198128,629.0,10101.815117675469,10880.0,2021-08-28,2021-08-23,2923.483769480187,3204,3833
18,610.0940745593693,149.0,10711.909192234838,11029.0,2021-09-04,2021-08-30,3369.9059254406307,3831,3980
19,608.170241665945,73.0,11320.079433900783,11102.0,2021-09-11,2021-09-06,3568.829758334055,4250,4177
20,843.2344437419756,124.0,12163.313877642759,11226.0,2021-09-18,2021-09-13,3731.7655562580244,4451,4575
21,632.9583088835898,85.0,12796.272186526348,11311.0,2021-09-25,2021-09-20,4076.04169111641,4624,4709
22,463.54110867189047,341.0,13259.813295198239,11652.0,2021-10-02,2021-09-27,4256.4588913281095,5061,4720
23,1199.5621029496788,31.0,14459.375398147917,11683.0,2021-10-09,2021-10-04,4266.437897050321,5497,5466
24,861.8109144950122,401.0,15321.186312642929,12084.0,2021-10-16,2021-10-11,5063.189085504988,6326,5925
25,1231.391835747021,115.0,16552.57814838995,12199.0,2021-10-23,2021-10-18,5687.608164252979,7034,6919
26,1617.4703831029938,153.0,18170.048531492943,12352.0,2021-10-30,2021-10-25,6596.529616897006,8367,8214
27,1489.0096325745817,548.0,19659.058164067523,12900.0,2021-11-06,2021-11-01,7920.990367425418,9958,9410
28,1371.0989693900392,1441.0,21030.157133457564,14341.0,2021-11-13,2021-11-08,8844.90103060996,11657,10216
29,1968.4981704074253,1794.0,22998.655303864987,16135.0,2021-11-20,2021-11-15,9345.501829592575,13108,11314
30,1854.5899008941415,2668.0,24853.24520475913,18803.0,2021-11-27,2021-11-22,10107.410099105859,14630,11962
31,2175.505150829258,2440.0,27028.75035558839,21243.0,2021-12-04,2021-11-29,10606.494849170742,15222,12782
32,2260.89282112251,2003.0,29289.6431767109,23246.0,2021-12-11,2021-12-06,11172.10717887749,15436,13433
33,1283.2980809859364,2097.0,30572.941257696835,25343.0,2021-12-18,2021-12-13,12206.701919014064,15587,13490
34,162.59125545270763,2932.0,30735.53251314954,28275.0,2021-12-25,2021-12-20,12017.591255452708,14787,11855
35,2312.2759540783027,737.0,33047.80846722784,29012.0,2022-01-01,2021-12-27,9847.724045921697,12897,12160
36,1142.5500009566913,1470.0,34190.35846818453,30482.0,2022-01-08,2022-01-03,10490.449999043309,13103,11633
