,error_euler,error_cdc_ensemble,cum_error_euler,cum_error_cdc_ensemble,target_prediction_date,prediction_made_date,euler_prediction_value,cdc_prediction_value,ground_truth_incidence
0,574.6325312309691,1111.7258314889723,574.6325312309691,1111.7258314889723,2020-06-13,2020-06-06,5236.632531230969,5773.725831488972,4662
1,831.4725265157085,1057.467505419214,1406.1050577466776,2169.193336908186,2020-06-20,2020-06-13,4664.4725265157085,4890.467505419214,3833
2,264.7333338896842,370.8706610185732,1670.8383916363618,2540.0639979267594,2020-06-27,2020-06-20,3806.733333889684,3912.870661018573,3542
3,202.07892977918664,1091.0850351718655,1872.9173214155485,3631.149033098625,2020-07-04,2020-06-27,3546.0789297791866,4435.0850351718655,3344
4,1607.7483928825286,1150.869784540802,3480.665714298077,4782.018817639427,2020-07-11,2020-07-04,3347.2516071174714,3804.130215459198,4955
5,33.71434432478691,174.97944983617344,3514.380058622864,4956.9982674756,2020-07-18,2020-07-11,5087.714344324787,4879.020550163827,5054
6,894.7547603272296,486.0,4409.134818950093,5442.9982674756,2020-07-25,2020-07-18,5104.24523967277,5513.0,5999
7,1243.6933566712542,444.0,5652.828175621347,5886.9982674756,2020-08-01,2020-07-25,6109.306643328746,6909.0,7353
8,663.7573606279539,575.0,6316.585536249301,6461.9982674756,2020-08-08,2020-08-01,7444.757360627954,7356.0,6781
9,308.33639661156303,767.0,6624.921932860864,7228.9982674756,2020-08-15,2020-08-08,6829.336396611563,7288.0,6521
10,414.7653343360944,484.0,7039.687267196959,7712.9982674756,2020-08-22,2020-08-15,6580.765334336094,6650.0,6166
11,300.97541325558814,468.0,7340.662680452547,8180.9982674756,2020-08-29,2020-08-22,6193.975413255588,6361.0,5893
12,493.5306872963947,557.0,7834.1933677489415,8737.9982674756,2020-09-05,2020-08-29,5930.530687296395,5994.0,5437
13,734.7745282510896,886.0,8568.967896000031,9623.9982674756,2020-09-12,2020-09-05,5456.77452825109,5608.0,4722
14,336.05397797463047,147.0,8905.021873974662,9770.9982674756,2020-09-19,2020-09-12,4780.9460220253695,4970.0,5117
15,35.693382898030904,157.0,8940.715256872692,9927.9982674756,2020-09-26,2020-09-19,5153.693382898031,4961.0,5118
16,554.7709070069741,510.0,9495.486163879666,10437.9982674756,2020-10-03,2020-09-26,5172.770907006974,5128.0,4618
17,76.50191917335633,100.0,9571.988083053024,10537.9982674756,2020-10-10,2020-10-03,4640.498080826644,4817.0,4717
18,2.745418851138311,307.0,9574.733501904162,10844.9982674756,2020-10-17,2020-10-10,4779.254581148862,5089.0,4782
19,526.652412461789,360.0,10101.38591436595,11204.9982674756,2020-10-24,2020-10-17,4844.347587538211,5011.0,5371
20,105.1302908265643,162.0,10206.516205192514,11366.9982674756,2020-10-31,2020-10-24,5459.869709173436,5727.0,5565
21,1134.223777015426,560.0,11340.73998220794,11926.9982674756,2020-11-07,2020-10-31,5635.776222984574,6210.0,6770
22,496.8607033626449,465.0,11837.600685570585,12391.9982674756,2020-11-14,2020-11-07,6898.139296637355,6930.0,7395
23,2591.1894336876185,1425.0,14428.790119258203,13816.9982674756,2020-11-21,2020-11-14,7502.8105663123815,8669.0,10094
24,609.6368817205166,1325.0,15038.42700097872,15141.9982674756,2020-11-28,2020-11-21,10384.636881720517,11100.0,9775
25,4962.742720141816,3167.0,20001.169721120536,18308.9982674756,2020-12-05,2020-11-28,9702.257279858184,11498.0,14665
26,1179.054205234852,1140.0,21180.223926355386,19448.9982674756,2020-12-12,2020-12-05,15043.945794765148,15083.0,16223
27,1051.414864617138,175.0,22231.638790972524,19623.9982674756,2020-12-19,2020-12-12,16463.585135382862,17340.0,17515
28,2899.4442698507446,4693.0,25131.083060823268,24316.9982674756,2020-12-26,2020-12-19,17713.444269850745,19507.0,14814
29,2991.297733772166,13.0,28122.380794595432,24329.9982674756,2021-01-02,2020-12-26,14554.702266227834,17533.0,17546
30,3217.917798571405,3040.0,31340.298593166837,27369.9982674756,2021-01-09,2021-01-02,17763.082201428595,17941.0,20981
31,6.476708097510709,377.0,31346.775301264348,27746.9982674756,2021-01-16,2021-01-09,21417.52329190249,21047.0,21424
32,1733.7845987228684,3139.0,33080.559899987216,30885.9982674756,2021-01-23,2021-01-16,21611.78459872287,23017.0,19878
33,137.4097955187317,845.0,33217.96969550595,31730.9982674756,2021-01-30,2021-01-23,20092.59020448127,21075.0,20230
34,817.0193138965442,940.0,34034.98900940249,32670.9982674756,2021-02-06,2021-01-30,20339.019313896544,20462.0,19522
35,3344.1754108900277,3392.0,37379.164420292516,36062.9982674756,2021-02-13,2021-02-06,19638.175410890028,19686.0,16294
36,4110.473357977096,5601.0,41489.637778269615,41663.9982674756,2021-02-20,2021-02-13,16224.473357977096,17715.0,12114
37,730.1798167218749,526.0,42219.81759499149,42189.9982674756,2021-02-27,2021-02-20,12116.820183278125,12321.0,12847
38,1875.0733155981961,510.0,44094.89091058968,42699.9982674756,2021-03-06,2021-02-27,12914.073315598196,11549.0,11039
39,2891.3591889774925,2304.0,46986.25009956717,45003.9982674756,2021-03-13,2021-03-06,10954.359188977493,10367.0,8063
40,1315.6082159555963,1804.0,48301.85831552277,46807.9982674756,2021-03-20,2021-03-13,7960.608215955596,8449.0,6645
41,266.74513838586154,617.0,48568.60345390863,47424.9982674756,2021-03-27,2021-03-20,6619.7451383858615,6970.0,6353
42,917.2401058808719,982.0,49485.8435597895,48406.9982674756,2021-04-03,2021-03-27,6392.240105880872,6457.0,5475
43,1142.4114611348477,799.0,50628.25502092435,49205.9982674756,2021-04-10,2021-04-03,5449.588538865152,5793.0,6592
44,1953.0010866660286,1068.0,52581.25610759038,50273.9982674756,2021-04-17,2021-04-10,6692.001086666029,5807.0,4739
45,33.04350421719937,521.0,52614.29961180758,50794.9982674756,2021-04-24,2021-04-17,4677.956495782801,5232.0,4711
46,184.14550808054264,118.0,52798.44511988813,50912.9982674756,2021-05-01,2021-04-24,4774.145508080543,4708.0,4590
47,158.00111588983964,66.0,52956.44623577797,50978.9982674756,2021-05-08,2021-05-01,4642.00111588984,4418.0,4484
48,655.5093557553282,509.0,53611.9555915333,51487.9982674756,2021-05-15,2021-05-08,4503.509355755328,4357.0,3848
49,184.61453695695263,81.0,53796.570128490246,51568.9982674756,2021-05-22,2021-05-15,3845.6145369569526,3742.0,3661
50,636.1072713227827,1081.0,54432.67739981303,52649.9982674756,2021-05-29,2021-05-22,3671.8927286772173,3227.0,4308
51,1248.1235402910406,345.0,55680.80094010407,52994.9982674756,2021-06-05,2021-05-29,4360.123540291041,3457.0,3112
52,752.0600497934997,265.0,56432.86098989757,53259.9982674756,2021-06-12,2021-06-05,3102.0600497934997,2615.0,2350
53,328.95386731351937,331.0,56761.81485721109,53590.9982674756,2021-06-19,2021-06-12,2335.9538673135194,2338.0,2007
54,8.819907448055574,211.0,56770.634764659146,53801.9982674756,2021-06-26,2021-06-19,2022.1800925519444,1820.0,2031
55,453.0286929538022,244.0,57223.66345761295,54045.9982674756,2021-07-03,2021-06-26,2042.0286929538022,1833.0,1589
56,34.22347448726123,22.0,57257.88693210021,54067.9982674756,2021-07-10,2021-07-03,1575.2234744872612,1563.0,1541
57,123.60980912582,65.0,57381.49674122603,54132.9982674756,2021-07-17,2021-07-10,1557.39019087418,1616.0,1681
58,130.9017488278546,148.0,57512.398490053885,54280.9982674756,2021-07-24,2021-07-17,1676.0982511721454,1955.0,1807
59,617.6243387958552,257.0,58130.02282884974,54537.9982674756,2021-07-31,2021-07-24,1832.3756612041448,2193.0,2450
60,865.4658002423089,642.0,58995.48862909205,55179.9982674756,2021-08-07,2021-07-31,2513.534199757691,2737.0,3379
61,1007.0870333494231,609.0,60002.57566244147,55788.9982674756,2021-08-14,2021-08-07,3464.912966650577,3863.0,4472
62,2512.616444891396,1647.0,62515.19210733287,57435.9982674756,2021-08-21,2021-08-14,4539.383555108604,5405.0,7052
63,1624.6590284505073,1372.0,64139.85113578338,58807.9982674756,2021-08-28,2021-08-21,7225.340971549493,7478.0,8850
64,1811.9438253419066,906.0,65951.79496112528,59713.9982674756,2021-09-04,2021-08-28,8954.056174658093,9860.0,10766
65,580.8714279148626,83.0,66532.66638904015,59796.9982674756,2021-09-11,2021-09-04,10882.128572085137,11546.0,11463
66,2078.490302238166,2335.0,68611.15669127832,62131.9982674756,2021-09-18,2021-09-11,11640.509697761834,11384.0,13719
67,202.48737326445553,826.0,68813.64406454278,62957.9982674756,2021-09-25,2021-09-18,13824.512626735544,13201.0,14027
68,805.883135834054,189.0,69619.52720037683,63146.9982674756,2021-10-02,2021-09-25,14009.883135834054,13393.0,13204
69,1855.3418943443157,767.0,71474.86909472114,63913.9982674756,2021-10-09,2021-10-02,13087.341894344316,11999.0,11232
70,105.00003992204074,775.0,71579.86913464319,64688.9982674756,2021-10-16,2021-10-09,11068.99996007796,10399.0,11174
71,346.6352358271397,1956.0,71926.50437047033,66644.9982674756,2021-10-23,2021-10-16,11160.36476417286,9551.0,11507
72,2386.589291890805,750.0,74313.09366236113,67394.9982674756,2021-10-30,2021-10-23,11433.589291890805,9797.0,9047
73,616.0352762716211,17.0,74929.12893863276,67411.9982674756,2021-11-06,2021-10-30,8910.035276271621,8277.0,8294
74,30.72421117904196,731.0,74959.8531498118,68142.9982674756,2021-11-13,2021-11-06,8319.724211179042,7558.0,8289
75,482.932525726299,658.0,75442.78567553809,68800.9982674756,2021-11-20,2021-11-13,8353.932525726299,7213.0,7871
76,2354.5917389631013,1900.0,77797.3774145012,70700.9982674756,2021-11-27,2021-11-20,7850.591738963101,7396.0,5496
77,6503.429930060815,4330.0,84300.80734456201,75030.9982674756,2021-12-04,2021-11-27,5221.570069939185,7395.0,11725
78,3343.609137592948,1289.0,87644.41648215496,76319.9982674756,2021-12-11,2021-12-04,12097.609137592948,10043.0,8754
79,235.87948072218933,641.0,87880.29596287715,76960.9982674756,2021-12-18,2021-12-11,8555.12051927781,9432.0,8791
80,843.2468178370382,1448.0,88723.54278071418,78408.9982674756,2021-12-25,2021-12-18,8827.753182162962,8223.0,9671
81,918.2130300810331,1508.0,89641.75581079522,79916.9982674756,2022-01-01,2021-12-25,9591.213030081033,10181.0,8673
82,2194.4892302674816,4089.0,91836.2450410627,84005.9982674756,2022-01-08,2022-01-01,8458.510769732518,14742.0,10653
83,1234.1731703772202,865.0,93070.41821143993,84870.9982674756,2022-01-15,2022-01-08,10797.82682962278,11167.0,12032
